,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8484848484848485,0.0,0.0
KNeighborsUnif,REC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KNeighborsUnif,F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9180327868852458,0.0,0.0
KNeighborsUnif,AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.635515873015873,0.0,0.635515873015873
KNeighborsDist,PRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8484848484848485,0.0,0.0
KNeighborsDist,REC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KNeighborsDist,F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9180327868852458,0.0,0.0
KNeighborsDist,AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6469246031746032,0.0,0.6469246031746032
NeuralNetFastAI,PRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8764705882352941,0.0,0.32142857142857145
NeuralNetFastAI,REC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8869047619047619,0.0,0.3
NeuralNetFastAI,F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8816568047337278,0.0,0.3103448275862069
NeuralNetFastAI,AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629563492063492,0.0,0.629563492063492
LightGBMXT,PRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9385474860335196,0.0,1.0
LightGBMXT,REC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6333333333333333
LightGBMXT,F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9682997118155621,0.0,0.7755102040816326
LightGBMXT,AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965079365079365,0.0,0.965079365079365
LightGBM,PRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9438202247191011,0.0,1.0
LightGBM,REC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666
LightGBM,F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9710982658959537,0.0,0.8
LightGBM,AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375992063492065,0.0,0.9375992063492065
RandomForestGini,PRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,1.0
